PedigreeId,Correct_IP,ResultsXLR,ResultsXLD,ResultsAR,ResultsAD
1084LN.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 3.749700898442238e-09]"
2055JS.json,AR,"[4.0, 2.0, 0.052734375000001742, 0, 0]","[4.0, 2.0, 0, 0.0048854159000448899, 0]","[4.0, 2.0, 0.079101562499999181, 0, 0]","[4.0, 2.0, 0, 0.00061020280662541827, 0]"
230KK.json,AR,"[4.0, 2.0, 0.070312500000000125, 0, 0]","[4.0, 2.0, 0, 0.0005222544881287786, 0]","[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.0027494921090037267, 0]"
235TL.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.12499999999999975, 0.0097884942634678118, 0]","[5.0, 3.0, 0.25000000000001149, 0, 0, 0]","[5.0, 3.0, 0, 0.019525760718247159, 0.0048918105327089203, 0]"
273PA.json,XL,"[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0.00052114296403838346, 0.00030510209700945686]"
277DP.json,XL,"[5.0, 3.0, 0.25000000000001149, 0, 0, 0]","[5.0, 3.0, 0, 0.0068141476839872249, 0, 0]","[5.0, 3.0, 0.140625000000001, 0, 0, 0]","[5.0, 3.0, 0, 0.006840425727248565, 0.01172512979878285, 0]"
302KW.json,XL,"[5.0, 3.0, 0.062500000000003636, 0, 0, 0]","[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0.015387302833247483, 0]"
3061JE.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.25000000000001149, 0.12499999999999975, 0]","[5.0, 3.0, 0.062500000000003636, 0, 0, 0]","[5.0, 3.0, 0, 0.1877400288934904, 0.093804226488477291, 0]"
3204RS.json,M,"[6.0, 4.0, 0, 0, 0, 0, 0]","[6.0, 4.0, 0, 0, 0.031250000000001041, 0, 0]","[6.0, 4.0, 0.140625000000001, 0, 0, 0, 0]","[6.0, 4.0, 0, 0.0011762102852747197, 0.0029334302233467629, 0, 0]"
3235JW.json,AD,"[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 0, 9.6118969763384263e-09, 0, 0, 0, 0]"
3239PB.json,XL,"[5.0, 2.0, 0.0043945312500001466, 0, 0]","[5.0, 2.0, 0, 0, 0]","[5.0, 2.0, 0, 0, 0]","[5.0, 2.0, 0, 0.00017183945298012603, 1.147281394559365e-06]"
3383AT.json,XL,"[7.0, 4.0, 0, 0, 0, 0, 0]","[7.0, 4.0, 0, 0, 0, 0.00048828124999999257, 0]","[7.0, 4.0, 0, 0, 0, 0, 0]","[7.0, 4.0, 0, 0, 0, 0.0001449926416169148, 0]"
3464DF.json,AR,"[4.0, 2.0, 0.070312500000000125, 0, 0]","[4.0, 2.0, 0, 0.0068076043881497702, 0]","[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.0068183618719020829, 0]"
3738KW.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0.0011761545193549711]"
3743MH.json,AD,"[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 3.6246303126744624e-05, 0, 0]"
3818J.json,AR,"[4.0, 4.0, 0, 3.9966405608993092e-05, 0, 0, 0]","[4.0, 4.0, 0, 0, 5.9553463343352354e-07, 2.3841857910157049e-07, 0]","[4.0, 4.0, 0.0059393160045148989, 0.00050525431288405526, 0.0059393160045148989, 0, 0]","[4.0, 4.0, 0, 1.3425254438495007e-06, 5.9712673503980733e-07, 1.4184074359054081e-07, 4.6142859330667806e-11]"
3843AH_2.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.0034441819468459534, 0, 0]","[5.0, 3.0, 0.18750000000000749, 0, 0, 0]","[5.0, 3.0, 0, 0.0097606857708827238, 0.0024460588566434407, 0]"
3903KA.json,XL,"[6.0, 4.0, 0, 0, 0, 0, 0]","[6.0, 4.0, 0, 0, 0, 0, 0]","[6.0, 4.0, 0.18750000000000749, 0, 0, 0, 0]","[6.0, 4.0, 0, 0.0024401643650640041, 3.6654865099626156e-05, 0, 0]"
3935SC.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.00013083061647230928, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.00014702141934948323, 0]"
404KH.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.12499999999999975, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.01950471624996717, 0]"
417CP.json,AD,"[8.0, 5.0, 0, 0, 0, 0, 0, 0]","[8.0, 5.0, 0, 0.02735266070455435, 0, 0, 0, 0]","[8.0, 5.0, 0, 0, 0, 0, 0, 0]","[8.0, 5.0, 0, 0.0034202128636242881, 0, 0, 0, 0]"
4259DM.json,AR,"[6.0, 4.0, 0.10937499999999976, 0.37500000000001699, 0, 0, 0]","[6.0, 4.0, 0, 0, 0.0048788044168722403, 0, 0]","[6.0, 4.0, 0.10937499999999976, 0, 0, 0, 0]","[6.0, 4.0, 0, 0.0054988624953640165, 0.023449770057003154, 0, 0]"
4515JN.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.00011831390516558856, 0]","[4.0, 2.0, 0.062500000000003636, 0, 0]","[4.0, 2.0, 0, 0.00011808867507506745, 0]"
4547PB.json,AR,"[4.0, 2.0, 0.093749999999999903, 0, 0]","[4.0, 2.0, 0, 0.00029212233675330077, 0]","[4.0, 2.0, 0.079101562499999181, 0, 0]","[4.0, 2.0, 0, 0.00029404283869897225, 0]"
4954DK.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0.039053228484316263]"
4958NG.json,XL,"[7.0, 4.0, 0, 0, 0, 0, 0]","[7.0, 4.0, 0, 0, 0, 0, 0]","[7.0, 4.0, 0, 0, 0, 0, 0]","[7.0, 4.0, 0, 0, 0, 0, 7.0793862698082621e-08]"
4961BR.json,XL,"[7.0, 2.0, 0.00585937500000019, 0, 0]","[7.0, 4.0, 0, 0, 0, 0, 0]","[7.0, 2.0, 0, 0, 0]","[7.0, 4.0, 0, 0, 0, 0, 5.6635090158465208e-07]"
4984TC.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.00034366190836386328, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.00034335574477928002, 0]"
4994BD.json,AR,"[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 0.0023198137327153103, 0, 0]"
5034MM.json,AR,"[4.0, 2.0, 0.093749999999999903, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.0048816572681017276, 0]"
5035KK.json,AR,"[9.0, 7.0, 0, 0, 0, 0, 0, 0, 0, 0]","[9.0, 7.0, 0, 0, 0.12499999999999975, 0.0097402638440494439, 0, 0, 0, 0]","[9.0, 7.0, 0.12499999999999975, 0, 0, 0, 0, 0, 0, 0]","[9.0, 7.0, 0, 0.0047038307519980099, 0.046940535608174343, 0.0048883481333940821, 0, 0, 0, 0]"
5082RH.json,XL,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.00028995756126028415, 0]"
5092AD.json,AD,"[4.0, 2.0, 0.059326171875001978, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0.15755208333333587, 0, 0]","[4.0, 2.0, 0, 0.000587413212293545, 0]"
5191BD.json,XL,"[5.0, 2.0, 0.25000000000001149, 0, 0]","[5.0, 3.0, 0, 0, 0.0024433761004974785, 0]","[5.0, 2.0, 0.140625000000001, 0, 0]","[5.0, 3.0, 0, 0.0068023299364425496, 0.0024458104113227476, 0]"
5220AT.json,AR,"[3.0, 1.0, 0.50000000000002398, 0]","[3.0, 1.0, 0, 0.027302574257164924]","[3.0, 1.0, 0.50000000000002398, 0]","[3.0, 1.0, 0.75000845746323808, 0.077917865400255706]"
5248RH.json,AD,"[4.0, 2.0, 0.0051269531250001657, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.00021375535645910604, 0]"
5263TS.json,AD,"[4.0, 2.0, 0.0088319778442385449, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0.033370971679688624, 0, 0]","[4.0, 2.0, 0, 0.00015255178962816739, 0]"
5359MH.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 7.2923478183002722e-05]","[2.0, 0.0, 0]","[2.0, 0.0, 7.3509657459685344e-05]"
5377KD.json,AD,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.039157007267349005, 0, 0]","[5.0, 3.0, 0.062500000000003636, 0, 0, 0]","[5.0, 3.0, 0, 0.038962170296721922, 0.0097836143417343955, 0]"
5393JR.json,AD,"[4.0, 2.0, 0.062500000000003636, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0.059326171875001978, 0, 0]","[4.0, 2.0, 0, 4.0621213916353923e-06, 0]"
5415RS.json,AR,"[4.0, 2.0, 0.25000000000001149, 0, 0]","[4.0, 2.0, 0, 0.013695855975373716, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.01363672374380424, 0]"
5426JR.json,XL,"[4.0, 2.0, 0.062500000000003636, 0, 0]","[4.0, 2.0, 0, 0.0027341409125144212, 0]","[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.01950471624996717, 0]"
5484LB.json,AR,"[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.00058321845731191266, 0]","[4.0, 2.0, 0.10546875000000012, 0, 0]","[4.0, 2.0, 0, 0.0005880856773979445, 0]"
5495MH.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 1.3359709778694195e-05, 0]"
55000MB.json,XL,"[6.0, 2.0, 0.0014648437500000473, 0, 0]","[6.0, 4.0, 0, 0, 0, 9.5332998289346785e-06, 0]","[6.0, 2.0, 0, 0, 0]","[6.0, 4.0, 0, 0, 2.3127994514140007e-05, 9.5355268759114343e-06, 0]"
5500MB.json,XL,"[6.0, 2.0, 0.0014648437500000473, 0, 0]","[6.0, 4.0, 0, 0, 0, 9.5335219880836996e-06, 0]","[6.0, 2.0, 0, 0, 0]","[6.0, 4.0, 0, 0, 1.713425425339279e-05, 4.7677634379558095e-06, 0]"
5546EL.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.021946534168213367, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.013673550451942663, 0]"
5571JF.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0.0012204133901348784]"
5596IN.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 5.0, 0, 1.4854855347690145e-06, 0, 0, 0, 0]","[5.0, 3.0, 0.014831542968750439, 0.0074157714843752325, 0.014831542968750439, 0]","[5.0, 5.0, 0, 6.7833125111268526e-06, 2.2879649876355559e-05, 2.3849654549943877e-06, 8.8586791558045658e-09, 6.2266810799618892e-10]"
5633JK.json,AD,"[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0.037115595343366795, 0.011733893007970141]"
5665PB.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0.0024408267802697569]"
5669JS.json,AR,"[5.0, 3.0, 0.50000000000002398, 0, 0, 0]","[5.0, 3.0, 0, 0, 0.031250000000001041, 0]","[5.0, 3.0, 0.140625000000001, 0, 0, 0]","[5.0, 3.0, 0, 0.019479467843464788, 0.023451056622117841, 0]"
5678AK.json,AR,"[4.0, 2.0, 0.0098876953125002741, 0, 0]","[4.0, 2.0, 0, 0.00013043971730311606, 0]","[4.0, 2.0, 0.079101562499999181, 0, 0]","[4.0, 2.0, 0, 0.00029404283869897225, 0]"
5694JL.json,AR,"[4.0, 2.0, 0.28125000000001305, 0, 0]","[4.0, 2.0, 0, 0.00052070315350574551, 0]","[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.00052115620345781022, 0]"
5697MS.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.25000000000001149, 0.019517862756035703, 0]","[5.0, 3.0, 0.18750000000000749, 0, 0, 0]","[5.0, 3.0, 0, 0.013680604370169805, 0.0048916622134460947, 0]"
5701LC.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0.0092788169116894831, 0]"
5704AC.json,XL,"[4.0, 2.0, 0.019775390625000635, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0.0065917968750001926, 0, 0]","[4.0, 2.0, 0, 0.00018333663799113489, 0]"
5712CS.json,AD,"[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 8.5921298808008548e-05, 3.8137762126182365e-05]"
5713BS.json,AD,"[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 8.5921298808008548e-05, 3.8137762126182365e-05]"
5738AT.json,AR,"[3.0, 1.0, 0.50000000000002398, 0]","[3.0, 1.0, 0, 0.027302574257164924]","[3.0, 1.0, 0.50000000000002398, 0]","[3.0, 1.0, 0.75000845746323808, 0.077917865400255706]"
5749KR.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0.015625000000000465, 0]","[5.0, 3.0, 0.140625000000001, 0, 0, 0]","[5.0, 3.0, 0, 0.0068403021850849018, 0.011725376875823845, 0]"
5775VS.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.062500000000003636, 0]","[4.0, 2.0, 0.10546875000000012, 0, 0]","[4.0, 2.0, 0, 0.0097606123651973863, 0]"
5783CC.json,AD,"[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0.00078666352125067039]"
5784CV.json,XL,"[4.0, 2.0, 0.25000000000001149, 0, 0]","[4.0, 2.0, 0, 0.038959302017933461, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.039009432499934375, 0]"
5786EK.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.013628326046407693, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.039053258144813828, 0]"
5793KB.json,XL,"[5.0, 1.0, 0.015625000000000465, 0]","[5.0, 3.0, 0, 0, 0.0003915430888921888, 0]","[5.0, 1.0, 0, 0]","[5.0, 3.0, 0, 0, 0.00039333890397825187, 0]"
5808SL.json,AD,"[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0.011718882147862736]"
5812RH.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.0023441393105907283, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.0048816572681017276, 0]"
5833TK.json,XL,"[5.0, 0.0, 0]","[5.0, 1.0, 0, 0]","[5.0, 0.0, 0]","[5.0, 1.0, 0, 2.9795271411753751e-07]"
5855MO.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0.0092787293681717287]"
5864KJ.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0.062500000000003636]","[2.0, 0.0, 0]","[2.0, 0.0, 0.0020453562078902275]"
5865MH.json,AD,"[6.0, 2.0, 0, 0, 0]","[6.0, 2.0, 0, 0, 0]","[6.0, 2.0, 0, 0, 0]","[6.0, 2.0, 0, 0, 0]"
5867KA.json,AD,"[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0.015625000000000479, 0, 3.8130961026994315e-05, 0, 0]","[7.0, 5.0, 0.18750000000000749, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0.0048804480859745494, 0.005867012313529916, 3.8197126514449484e-05, 0, 0]"
5892JB.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.019506439509937128, 0]","[4.0, 2.0, 0.25000000000001149, 0, 0]","[4.0, 2.0, 0, 0.0097633145362034553, 0]"
5915MB.json,AD,"[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0.015625000000000465, 0, 0, 0]","[7.0, 5.0, 0.095703124999999958, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0.019520335086174036, 0.011724627844394226, 0, 0, 0]"
5951MB.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.015625000000000479, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.011733544831432401, 0]"
5961FY.json,AR,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 1.2652428655264415e-05]"
5962WJ.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 1.2652428655264415e-05]"
5965MS.json,AD,"[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0.001709982638535035, 0.0029334732519925135]"
5988CF.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.013620417580279683, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.039042449460789587, 0]"
5991KP.json,XL,"[6.0, 2.0, 0, 0, 0]","[6.0, 3.0, 0, 0.0013701281720710241, 0, 0]","[6.0, 2.0, 0, 0, 0]","[6.0, 3.0, 0, 0.0001718492184773156, 0, 0]"
5992VM.json,AR,"[4.0, 4.0, 0, 0, 0, 0, 0]","[4.0, 4.0, 0, 0.00058333627236728926, 0.25000000000001149, 0, 0]","[4.0, 4.0, 0.25000000000001149, 0.12499999999999975, 0.25000000000001149, 0, 0]","[4.0, 4.0, 0, 0.18750203259385895, 0.0195666488537844, 0.0023239187429874709, 0.00058061153838619736]"
6028SV.json,AR,"[4.0, 2.0, 0.029663085937500989, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0.10546875000000012, 0, 0]","[4.0, 2.0, 0, 1.3588900300615423e-05, 0]"
6030CH.json,XL,"[5.0, 2.0, 0, 0, 0]","[5.0, 2.0, 0, 0, 0]","[5.0, 2.0, 0, 0, 0]","[5.0, 2.0, 0, 5.7393059883219298e-05, 0]"
6050MM.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.00014692721186574206, 0]","[4.0, 2.0, 0.079101562499999181, 0, 0]","[4.0, 2.0, 0, 0.00014657617482092248, 0]"
6066RB.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.25000000000001149, 0.0048940517973444708, 0]","[5.0, 3.0, 0.18750000000000749, 0, 0, 0]","[5.0, 3.0, 0, 0.013604469582009877, 0.0048916208226454216, 0]"
6087SR.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 3.3594106342830724e-05]"
611JC.json,AR,"[4.0, 2.0, 0.25000000000001149, 0, 0]","[4.0, 2.0, 0, 0.013642409281878889, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.01367318190944922, 0]"
6142KB.json,AR,"[4.0, 2.0, 0.25000000000001149, 0, 0]","[4.0, 2.0, 0, 0.0068522804054193731, 0]","[4.0, 2.0, 0.25000000000001149, 0, 0]","[4.0, 2.0, 0, 0.0068365909547246162, 0]"
6156AK.json,AD,"[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0.019521222237531017]"
6166MS.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.019509625106185698, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.01950471624996717, 0]"
6166MSsc.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.019509625106185698, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.01950471624996717, 0]"
6199RS.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0.00024414062500000233, 0]","[5.0, 3.0, 0.064113616943360568, 0, 0, 0]","[5.0, 3.0, 0, 0.00010687972164194101, 3.8215787676917573e-05, 0]"
6210HG.json,AR,"[8.0, 5.0, 0, 0, 0, 0, 0, 0]","[8.0, 5.0, 0, 0, 0, 0, 0, 0]","[8.0, 5.0, 0, 0, 0, 0, 0, 0]","[8.0, 5.0, 0, 0, 0, 0, 0, 0]"
6212SD.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.013663767125510266, 0]","[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.001710042851672829, 0]"
6217IV.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.25000000000001149, 0, 0]","[5.0, 3.0, 0.18750000000000749, 0, 0, 0]","[5.0, 3.0, 0, 0.039051482540696431, 0.023450259597565744, 0]"
6261JS.json,XL,"[2.0, 0.0, 0]","[2.0, 0.0, 3.9234304512315765e-05]","[2.0, 0.0, 0]","[2.0, 0.0, 3.9338375790744268e-05]"
6323AM.json,AD,"[1.0, 0.0, 0]","[1.0, 0.0, 0.00117536109216724]","[1.0, 0.0, 0]","[1.0, 0.0, 0.0011761545193549711]"
6327JA.json,XL,"[6.0, 4.0, 0.023437500000000763, 0, 0, 0, 0]","[6.0, 4.0, 0, 0, 0, 0.015625000000000479, 0]","[6.0, 4.0, 0, 0, 0, 0, 0]","[6.0, 4.0, 0, 0, 0, 0.00019663302913522761, 0]"
6339KS.json,AD,"[6.0, 4.0, 0, 0, 0, 0, 0]","[6.0, 4.0, 0, 0, 0, 0, 0]","[6.0, 4.0, 0, 0, 0, 0, 0]","[6.0, 4.0, 0, 0, 0, 2.0463676725625411e-05, 0]"
6437AB.json,AR,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0.0055604381506959817, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.0027469683566674098, 0]"
6449TA.json,AR,"[4.0, 4.0, 0, 0, 0, 0, 0]","[4.0, 4.0, 0, 0, 3.0517578124999959e-05, 0, 0]","[4.0, 4.0, 0.10546875000000012, 5.1498413085937324e-05, 0.10546875000000012, 0, 0]","[4.0, 4.0, 0, 5.6068347301951986e-06, 4.768206014042989e-06, 4.432615979581063e-09, 8.3056240897576786e-10]"
6457RB.json,AR,"[4.0, 2.0, 0.50000000000002398, 0, 0]","[4.0, 2.0, 0, 0.25000000000001149, 0]","[4.0, 2.0, 0.18750000000000749, 0, 0]","[4.0, 2.0, 0, 0.039009432499934375, 0]"
6481MR.json,AD,"[4.0, 2.0, 0.10546874999999993, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0.10546875000000012, 0, 0]","[4.0, 2.0, 0, 0.002440153091299344, 0]"
test.json,AR,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0.37501763000817512]"
test_1.json,AD,"[2.0, 0.0, 1.0000000000000462]","[2.0, 0.0, 0.74931916757964423]","[2.0, 0.0, 1.0000000000000462]","[2.0, 0.0, 0.75003526001634901]"
test_10.json,AD,"[2.0, 0.0, 0.62454227276023211]","[2.0, 0.0, 0.37553700130720574]","[2.0, 0.0, 1.0000000000000462]","[2.0, 0.0, 0.75003526001634901]"
test_11.json,AD,"[1.0, 0.0, 0]","[1.0, 0.0, 0.093546718677965907]","[1.0, 0.0, 0]","[1.0, 0.0, 0.18750211436580583]"
test_12.json,AD,"[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0.37500422873161704]"
test_123.json,AD,"[3.0, 1.0, 1.0000000000000462, 0]","[3.0, 1.0, 0.74931289060067607, 0]","[3.0, 1.0, 0.50000000000002398, 0]","[3.0, 1.0, 0.75001581233410042, 0.3754845762550103]"
test_13.json,AD,"[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0.37500422873161704]"
test_2.json,AD,"[1.0, 0.0, 1.0000000000000462]","[1.0, 0.0, 0.7498025622802017]","[1.0, 0.0, 0]","[1.0, 0.0, 0.75000845746323808]"
test_3.json,AD,"[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0]","[1.0, 0.0, 0.75000845746323808]"
test_4.json,AD,"[2.0, 0.0, 1.0000000000000462]","[2.0, 0.0, 0.74931916757964423]","[2.0, 0.0, 1.0000000000000462]","[2.0, 0.0, 0.75000783396454562]"
